a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
2020.46, 18.7799, 0.0520878, -0.164333, 0.0327289, 0, -2.00079, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, -0.906833, 0.73527, 18.0397, 18.7401, 8.96403e-09, 3.6524e-06, 0.0307835, 13.7804, 0, 5.12506, 0
2024.97, 18.7783, -0.0549208, -0.199532, 0.0582506, 0, -2.00079, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, -0.741932, 0.752904, 18.0571, 18.7324, 2.56814e-09, 3.49303e-06, 0.0301744, 14.0737, 0, 5.09967, 0
2029.84, 18.7134, -0.186929, -0.287693, 0.141507, 0, -2.00079, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, -0.623448, 0.908705, 18.0764, 18.6624, 8.80803e-09, 3.68544e-06, 0.0284353, 14.5227, 0, 5.17536, 0
2033.95, 18.5954, -0.335712, 0.211474, -0.0306265, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -0.293495, 1.34063, 18.4522, 18.984, 1.19021e-09, 3.56762e-06, 0.0746092, 11.649, 0, 6.76052, 0
2038.76, 18.4615, -0.183185, 0.155913, -0.0239474, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -0.392944, 1.28959, 18.4456, 18.9786, 4.10559e-10, 3.74889e-06, 0.0693059, 11.6271, 0, 8.15677, 0
2043.18, 18.3992, -0.0792036, 0.114346, -0.0187352, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -0.484899, 1.2564, 18.4447, 18.9736, 6.09506e-10, 3.5685e-06, 0.0629187, 11.5201, 0, 7.95861, 0
2047.6, 18.3799, -0.00334939, 0.080686, -0.014337, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -0.576932, 1.23889, 18.4496, 18.9687, 2.55504e-09, 3.3924e-06, 0.0511665, 11.3661, 0, 8.14713, 0
2052.01, 18.3915, 0.0497896, 0.0539095, -0.0106851, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -0.668941, 1.14838, 18.4606, 18.9638, 1.19234e-11, 2.42789e-06, 0.0387388, 11.1806, 0, 8.24377, 0
2056.43, 18.4241, 0.0849117, 0.288126, -0.0532561, 0, -2.00079, 0, 0, -1.21081, 0.454055, -0.0454055, 2.8, 0, 0, 0, 0, -4.56569, 1.74603, 18.4967, 21.0094, 1.53744e-08, 4.44595e-05, 0.375997, 4.76977, 0, 2.68952, 0
2061.23, 18.5229, 0.288049, 0.178786, -0.0380496, 0, -2.02005, -0.214669, -0.76825, -0.551116, 0.282046, -0.0307731, 2.8, 0, 0, 0, 0, -5.28132, 1.56317, 18.6265, 20.9321, 3.45957e-08, 3.42814e-05, 0.483336, 3.98678, 0, 3.25909, 0
2065.32, 18.674, 0.394998, 0.141518, -0.0369535, 0, -2.10969, -0.621068, -1.05336, -0.17088, 0.172537, -0.0210306, 2.6, 0, 0, 0, 0, -5.16627, 1.53836, 18.8044, 20.9308, 9.90094e-09, 2.83897e-05, 0.476581, 3.38053, 0, 2.24719, 0
2070.2, 18.9055, 0.490393, 0.135537, -0.0476906, 0, -2.34461, -1.19182, -1.12036, 0.13011, 0.0748647, -0.0119187, 2.2, 0, 0, 0, 0, -3.87014, 1.54901, 19.0778, 20.9643, 4.85756e-09, 2.62531e-05, 0.299091, 2.82457, 0, 1.83673, 0
2075.54, 19.2078, 0.581811, -0.0120868, -0.0143167, 0, -2.76286, -1.78241, -0.978467, 0.310514, 0.00313866, -0.00476408, 2.4, 0, 0, 0, 0, -5.70935, 1.36729, 19.4258, 20.8377, 7.28885e-10, 1.88588e-05, 0.680994, 2.02042, 0, 5.88662, 0
