minAcc, maxAcc, minKappa, maxKappa
-0.95877, 2.44407, -0.00106217, 0.00434178
-0.0497751, 2.26093, -0.00122705, 0.00375222
0.154386, 2.0485, -0.00140985, 0.00310603
0.281222, 1.88826, -0.00143983, 0.00255901
0.240908, 1.74275, -0.00143552, 0.00194501
0.205785, 1.6465, -0.00142962, 0.00131738
0.175592, 1.59238, -0.00142734, 0.000673415
0.150005, 1.5724, -0.0014408, 1.14954e-05
0.128603, 1.52575, -0.00145533, -0.000288
0.110956, 1.40959, -0.00144652, -0.00045089
0.109477, 1.27391, -0.00143618, -0.000617445
1.13977, 3.08906, -0.00118818, -0.000786802
1.1421, 3.11174, -0.00122097, -0.000975518
0.866604, 1.92688, -0.0012378, -0.0011549
-0.103345, 0.0649186, -0.00142559, -0.000647138
0.0642556, 0.0649058, -0.00140464, -0.000626578
0.0643054, 0.0648127, -0.00127914, -0.000708872
0.0642729, 0.0647198, -0.00117484, -0.000657421
0.0642611, 0.0646002, -0.00105004, -0.000636857
0.0642918, 0.0645011, -0.000946347, -0.000688285
0.0642853, 0.0643996, -0.000832601, -0.000677995
-0.554618, 0.0643054, -0.000708872, 0.00056937
-0.487655, -0.0130337, -0.000585483, 0.000704575
-0.541642, -0.0305334, -0.000472879, 0.000603665
-0.619564, -0.0622202, -0.000358598, 0.000491427
-0.702658, -0.109618, -0.000219292, 0.000402058
-0.674538, -0.0323713, -9.29767e-05, 0.000524493
-0.620422, 0.0668123, 3.23455e-05, 0.000479725
-0.595856, 0.647553, -0.000602216, 0.000826009
-0.249523, 0.606305, -0.000624358, 0.000817471
-0.0364972, 0.60931, -0.000691186, 0.000814813
-0.0387858, 0.610153, -0.00071338, 0.000825912
-0.0414918, 0.573302, -0.000736138, 0.000817295
-0.0446719, 0.581782, -0.000758481, 0.000795833
-0.0484356, 0.455404, -0.000781192, 0.000665696
-0.141912, 0.492767, -0.000691203, 0.000426076
-0.141922, 0.492188, -0.000713634, 0.000184276
-0.031205, 0.413698, -0.000645438, -8.23023e-05
-0.0477977, 0.240394, -0.000668523, -0.000329337
-0.0699776, 0.0282154, -0.000691183, -0.000577762
-0.142045, -0.141983, -0.000941547, -0.000827648
-0.142168, -0.142115, -0.00119282, -0.00107849
-0.14225, 0.115591, -0.00190983, -0.000700119
-0.142245, 0.11559, -0.00195151, -0.000663253
-0.142098, 0.115591, -0.00190983, -0.000792384
-0.424371, 0.115501, -0.00181618, 0.000613569
-0.0509803, 0.198276, -0.00159209, -0.000664762
0.0921695, 0.196694, -0.00138671, -0.000646036
0.150284, 0.194257, -0.00118236, -0.000719831
0.192822, 0.219913, -0.000941631, -0.000849184
-0.641314, 0.115179, -0.000719878, 0.000973833
-0.721636, -0.0713398, -0.000498946, 0.00083331
-0.818346, -0.123872, -0.000261779, 0.000710539
-0.756682, -0.0183242, -4.49688e-05, 0.000919392
-0.931854, -0.343325, 0.000151311, 0.000589163
-0.927729, -0.286346, 0.00034545, 0.000606497
-0.478265, -0.122189, 0.000554809, 0.000641336
0.104507, 0.104561, 0.000762105, 0.000848389
0.104636, 0.104689, 0.000969103, 0.00105527
0.104747, 0.104789, 0.00115859, 0.00124463
-0.0978313, 0.104859, 0.000580271, 0.00208279
-0.0978293, 0.10485, 0.000386172, 0.00205055
-0.0978313, 0.104742, 0.000245802, 0.00208279
-0.0978293, 0.104452, 9.33408e-05, 0.00205055
-0.0978313, -0.070387, -4.77064e-05, 0.00193919
-0.0977849, -0.070403, -0.000189011, 0.00174792
-0.097646, -0.070387, -0.000224372, 0.00154039
-0.0974887, -0.0703951, -0.000118329, 0.00136462
-0.097305, 0.46208, -0.000652418, 0.00117276
-0.00522024, 0.457594, -0.000664543, 0.000996789
-0.00658015, 0.452617, -0.000676781, 0.000820297
-0.0112233, 0.43878, -0.000713573, 0.00061075
0.0070061, 0.483525, -0.000602988, 0.000432555
0.0014321, 0.474516, -0.000627787, 0.000287951
-0.00175646, 0.47462, -0.000640008, 0.000156423
-0.00551074, 0.460925, -0.000652357, 2.37336e-05
-0.0774907, 0.410403, -0.000739146, -0.000122156
-0.0774773, 0.330558, -0.00075149, -0.000256798
0.0591804, 0.212003, -0.000602712, -0.000416998
0.00278047, 0.120665, -0.000627565, -0.000565548
-0.0775175, -0.0774476, -0.000776519, -0.000714467
-1.6729, 0.213548, -0.000569506, 0.000752093
-1.28395, 0.193995, -0.000196634, 0.00110729
-1.44777, -0.749621, 0.000170376, 0.000658254
-1.12505, -0.369454, 0.0005615, 0.000722215
0.193891, 0.194024, 0.000978303, 0.00113791
0.194216, 0.194348, 0.00136101, 0.00152011
-0.310513, 0.723218, -0.00221801, 0.00281795
-0.29004, 0.741639, -0.00163158, 0.00280865
-0.293146, 0.748898, -0.00169644, 0.00274837
-0.29681, 0.760024, -0.00176167, 0.00275464
-0.252628, 0.348832, -0.00123866, 0.00226002
-0.408573, 0.474214, -0.000914407, 0.00164314
-0.155297, 0.475627, -0.000653111, 0.000953569
-0.190518, 0.330219, -0.000717478, 0.000254399
-0.284522, -0.0702352, -0.000848426, -0.000521759
-0.409226, 0.14663, -0.00257962, -0.00107427
-0.409236, 0.146633, -0.00265148, -0.00109532
-0.0657843, 0.146629, -0.00260357, -0.00106375
