Acc, Kappa
0.581782, 0.000792488
0.441786, 0.000665696
0.454964, 0.000426076
0.492188, 0.000184276
0.413698, -8.23023e-05
0.240394, -0.000329337
0.0282154, -0.000577762
-0.141983, -0.000827648
-0.142115, -0.00107849
-0.142218, -0.00133026
-0.142245, -0.00160589
-0.142098, -0.00190538
0.115501, -0.00181618
-0.0509803, -0.00159209
0.0921695, -0.00138671
0.172572, -0.00118236
0.192822, -0.000941631
0.115179, -0.000719878
-0.201237, -0.000498946
-0.511908, -0.000261779
-0.756682, -4.49688e-05
-0.698436, 0.000151311
-0.927729, 0.00034545
-0.478265, 0.000554809
0.104507, 0.000762105
0.104636, 0.000969103
0.104747, 0.00115859
0.104844, 0.00139934
0.10485, 0.00162235
0.104742, 0.00182755
0.104452, 0.00204886
-0.0978313, 0.00193919
-0.0977849, 0.00174792
-0.097646, 0.00154039
-0.0974887, 0.00136462
-0.097305, 0.00117276
0.058753, 0.000996789
0.185301, 0.000820297
0.298033, 0.00061075
0.358176, 0.000432555
0.454456, 0.000287951
0.47462, 0.000156423
0.460925, 2.37336e-05
0.410403, -0.000122156
0.330558, -0.000256798
0.212003, -0.000416998
0.120665, -0.000565548
-0.0775175, -0.000714467
0.213548, -0.000569506
-1.28395, -0.000196634
-1.20632, 0.000170376
-1.12505, 0.0005615
0.193891, 0.000978303
0.194216, 0.00136101
0.194485, 0.00171075
0.40585, 0.00205933
0.613214, 0.00240722
0.760024, 0.00275464
0.265168, 0.00226002
0.340149, 0.00164314
0.475627, 0.000953569
0.330219, 0.000254399
-0.0702352, -0.000521759
-0.408751, -0.00124277
-0.409174, -0.00203717
0.146322, -0.00260357
0.146603, -0.00231629
0.146614, -0.00205355
0.146474, -0.00179173
0.146235, -0.00150739
0.146003, -0.00124798
-0.0654447, -0.00109532
-0.0655529, -0.00122184
-0.0656547, -0.00134876
-0.0657373, -0.00147603
-0.0657843, -0.00159298
-0.231873, -0.00172079
-0.340705, -0.00184848
0.529518, -0.00173098
0.554993, -0.00106887
-0.374437, -0.000412189
-1.77721, 0.000232771
-1.04011, 0.000807558
-0.513949, 0.00136971
-0.488801, 0.00187674
-0.127448, 0.001577
0.115033, 0.0012754
0.340781, 0.000972774
0.550398, 0.000666635
0.652429, 0.000382683
0.777502, 6.9424e-05
0.896565, -0.000275524
0.707801, -0.000442179
0.252072, -0.000590208
-0.0775045, -0.000739039
-0.0774206, -0.000888016
-0.0772834, -0.00103706
-0.0770998, -0.00117364
-0.109068, -0.00133472
-0.1094, -0.00154644
-0.10979, -0.00175942
-0.110159, -0.0019558
-0.250647, -0.00213527
-0.359605, -0.0023332
-0.428989, -0.00253153
-0.467448, -0.00272958
-0.105293, -0.00247379
0.589277, -0.00202759
0.899734, -0.00149289
0.402643, -0.00100338
-0.194499, -0.000517158
-0.566394, -3.61258e-05
-1.10115, 0.000375016
-1.41846, 0.000574885
0.108008, 0.00080735
0.108051, 0.00102104
0.108054, 0.00123421
0.107997, 0.00142909
0.107818, 0.00165856
-0.00452285, 0.00178174
0.219813, 0.00177164
0.347007, 0.00176403
0.428107, 0.00175539
0.492174, 0.00174838
0.525581, 0.00174164
0.527653, 0.00173405
-2.46596, 0.00116988
-0.304765, 0.000615987
-0.304716, 8.86098e-06
-0.304608, -0.000551462
3.2504, -0.00117447
-0.390428, -0.000534984
-1.74969, -0.0014274
-1.28608, -0.00166477
0.38705, -0.00130159
-3.35515, -0.00104753
0.420401, 0.000281732
0.10787, 0.00150056
0.430115, 0.00129855
0.747057, 0.000990666
0.764234, 0.000581972
-0.695565, -0.000178739
-0.822563, -0.000897293
-0.805355, -0.00169398
0.483277, -0.00118716
0.520726, -0.000359663
0.554683, 0.000448407
0.577758, 0.00107356
0.595609, 0.00166021
0.609271, 0.00226956
-3.19942, 0.00270334
0.420693, 0.00168083
0.864001, 1.53252e-05
-1.27424, -0.00160126
-1.42031, -0.00345087
-1.72018, -0.00519039
-1.89878, -0.00697107
0.611927, -0.00646118
0.530654, -0.0051464
0.458011, -0.00349222
0.524518, -0.00214228
0.688331, -0.000839096
1.13412, 0.000541875
1.1363, 0.0017827
-7.88249, 0.00282278
-1.02765, 0.00225913
-0.32609, 0.00167865
0.162484, 0.00119274
0.519896, 0.000643824
0.752938, 8.15934e-05
0.868487, -0.000493962
1.2731, -0.00114192
0.949667, -0.00175325
1.70632, -0.00101837
1.45557, -0.000243646
0.684738, 0.000941592
-2.83563, 0.00181805
0.621928, 0.00265528
0.558822, 0.00333158
-1.96237, 0.00403586
-1.53362, 0.00378034
