s, d, v, x, y,t
194.323,6.26457,36.0863,979.785,1135.34,12.1527
195.293,6.27386,36.2901,980.732,1135.54,12.2007
195.944,6.27651,36.5139,981.367,1135.69,12.2487
196.926,6.27398,36.717,982.323,1135.91,12.3008
197.584,6.26831,36.9534,982.964,1136.06,12.3528
198.576,6.25288,36.9981,983.928,1136.3,12.4007
199.241,6.23812,37.1872,984.572,1136.46,12.4527
200.244,6.20983,37.4212,985.543,1136.71,12.5007
200.916,6.18669,37.6289,986.193,1136.89,12.5528
201.931,6.14555,37.8867,987.173,1137.15,12.6008
202.611,6.11392,38.0768,987.829,1137.34,12.6487
203.637,6.06021,38.3372,988.817,1137.62,12.7007
204.325,6.02013,38.5528,989.479,1137.81,12.7527
205.363,5.95373,38.8032,990.476,1138.11,12.8007
206.059,5.90517,39.0143,991.143,1138.31,12.8488
217.119,4.96428,39.2743,992.149,1138.62,12.9008
216.415,5.02848,39.5069,992.822,1138.84,12.9527
215.353,5.1197,39.7567,993.837,1139.16,13.0047
214.641,5.17694,39.9933,994.516,1139.39,13.0567
213.565,5.25853,40.2026,995.539,1139.73,13.1047
212.844,5.31086,40.4598,996.224,1139.96,13.1567
211.755,5.38411,40.7254,997.257,1140.31,13.2047
212.642,5.45129,41.1729,998.295,1140.68,13.2568
213.377,5.49311,41.1707,998.99,1140.92,13.3127
214.488,5.55277,41.6152,1000.04,1141.3,13.3608
215.233,5.58985,41.6441,1000.74,1141.55,13.4088
216.358,5.64256,42.1797,1001.8,1141.94,13.4607
217.11,5.67516,42.1151,1002.5,1142.2,13.5087
218.248,5.72018,42.6502,1003.57,1142.6,13.5607
219.009,5.74781,42.5817,1004.28,1142.87,13.6088
220.16,5.78529,43.1179,1005.36,1143.28,13.6608
220.93,5.80807,43.162,1006.08,1143.56,13.7127
222.094,5.83993,43.5592,1007.16,1143.98,13.7607
222.873,5.85991,43.6038,1007.89,1144.26,13.8088
224.049,5.88729,43.9837,1008.98,1144.69,13.8647
225.232,5.91188,44.2785,1010.08,1145.12,13.9168
226.024,5.92662,44.4267,1010.82,1145.42,13.9647
227.219,5.94687,44.7106,1011.93,1145.86,14.0168
228.021,5.95907,44.9654,1012.67,1146.16,14.0687
229.228,5.97678,45.2152,1013.79,1146.61,14.1207
230.037,5.9877,45.3574,1014.54,1146.91,14.1727
231.256,6.00403,45.6072,1015.67,1147.37,14.2207
232.072,6.01447,45.6072,1016.43,1147.68,14.2728
233.304,6.02954,46.1056,1017.57,1148.14,14.3207
234.127,6.03998,46.1056,1018.33,1148.45,14.3767
235.371,6.05561,46.5642,1019.49,1148.92,14.4287
236.62,6.07137,46.7127,1020.64,1149.38,14.4847
249.908,6.1495,46.8808,1021.81,1149.85,14.5367
249.066,6.15315,47.1651,1022.59,1150.17,14.5848
247.796,6.16177,47.4348,1023.77,1150.64,14.6407
246.946,6.16617,47.6289,1024.56,1150.96,14.6887
245.665,6.17213,47.8723,1025.75,1151.44,14.7447
244.377,6.18036,48.075,1026.94,1151.92,14.7968
244.333,6.18538,48.3311,1027.75,1152.24,14.8488
245.632,6.19546,48.5339,1028.95,1152.72,14.9048
246.939,6.20498,48.7899,1030.17,1153.2,14.9568
247.815,6.21043,48.9319,1030.98,1153.53,15.0087
249.133,6.21856,49.2894,1032.2,1154.02,15.0608
250.017,6.22291,49.4239,1033.02,1154.35,15.1087
251.344,6.22871,49.4774,1034.25,1154.85,15.1608
252.227,6.23089,49.3762,1035.07,1155.18,15.2128
253.553,6.22995,49.4461,1036.3,1155.68,15.2648
254.436,6.22777,49.3451,1037.12,1156.02,15.3128
255.763,6.22177,49.5056,1038.34,1156.53,15.3607
256.647,6.21767,49.5056,1039.16,1156.86,15.4128
257.974,6.20726,49.4887,1040.38,1157.37,15.4607
258.857,6.19966,49.4761,1041.2,1157.71,15.5127
260.183,6.18569,49.4304,1042.42,1158.23,15.5607
261.066,6.1749,49.4178,1043.23,1158.57,15.6167
262.393,6.15588,49.4657,1044.45,1159.09,15.6727
263.718,6.13214,49.4513,1045.67,1159.62,15.7247
264.602,6.11507,49.4459,1046.48,1159.96,15.7728
265.929,6.08851,49.4459,1047.7,1160.49,15.8207
267.255,6.05965,49.3945,1048.92,1161.02,15.8767
268.14,6.03844,49.4256,1049.73,1161.37,15.9247
269.466,6.0065,49.4381,1050.95,1161.9,15.9848
280.767,5.93123,49.482,1052.16,1162.44,16.0407
279.441,5.90607,49.4136,1053.38,1162.97,16.0967
