s, d
3078.44,-1.98268
3083.33,-1.98289
3087.83,-1.98373
3092.32,-1.98358
3097.22,-1.98141
3101.7,-1.98172
3106.19,-1.97563
3111.5,-1.98677
3117.62,-1.9796
3123.74,-1.97713
3129.86,-1.98397
3135.57,-1.97894
3141.69,-1.98495
3148.62,-1.98096
3155.14,-1.98471
3162.07,-1.98135
3168.59,-1.98419
3175.11,-1.98428
3181.21,-1.98245
3186.91,-1.98313
3192.61,-1.98162
3198.72,-1.97836
3205.22,-1.97903
3211.74,-1.98099
3218.25,-1.98288
3225.17,-1.98203
3231.68,-1.98079
3238.59,-1.98459
3245.5,-1.97914
3252.02,-1.97913
3258.52,-1.98578
3265.04,-1.98141
3271.54,-1.98412
3278.46,-1.98492
3284.97,-1.98553
3291.48,-1.98023
3298,-1.9828
3304.51,-1.98699
3310.22,-1.98345
3316.33,-1.98255
3322.04,-1.98595
3327.35,-1.98123
3333.05,-1.97834
3338.36,-1.97789
3344.48,-1.98549
3351.02,-1.98135
3357.97,-1.97929
3364.51,-1.98615
3371.05,-1.97945
3378.41,-1.98396
3384.94,-1.98483
3391.87,-1.98047
3399.17,-1.9864
3405.64,-1.98054
3412.09,-1.98115
3418.52,-1.98336
3424.12,-1.98534
3429.65,-1.9844
3435.42,-1.9798
3440.67,-1.98233
3445.76,-1.98336
3450.77,-1.98264
3455.7,-1.98603
3460.56,-1.98062
3465.39,-1.98362
3470.2,-1.97976
3475.68,-1.98574
3480.82,-1.97825
3486.31,-1.98572
3491.48,-1.98102
3496.67,-1.97777
3502.24,-1.977
3507.49,-1.98191
3513.13,-1.98032
3518.46,-1.98235
3523.85,-1.97924
3529.65,-1.97838
3534.76,-1.97708
3540.28,-1.98568
3546.21,-1.98155
3552.17,-1.98554
3557.41,-1.97709
3563.04,-1.98516
3568.32,-1.98449
3573.6,-1.98166
3578.9,-1.97922
3584.2,-1.98603
3589.12,-1.9843
3594.05,-1.98624
3598.97,-1.98049
3605.03,-1.98405
3611.1,-1.98482
3617.52,-1.98288
3623.94,-1.98259
3630.35,-1.98461
3637.16,-1.98462
3644,-1.98338
3650.91,-1.97964
3658.24,-1.98032
3665.19,-2.02845
3672.13,-2.20548
3679.06,-2.53125
3684.37,-2.91175
3687.53,-3.38689
3688.99,-3.90806
3689.34,-4.3688
3689.27,-4.60207
3689.08,-4.81354
3688.55,-5.16824
3688.01,-5.45192
3687.65,-5.67435
3687.6,-5.84008
3688.05,-5.95001
3688.9,-6.01132
3690.21,-6.01048
3692.12,-6.01126
3694.41,-6.00838
3697.36,-6.00969
3701.04,-6.01102
3705.25,-6.0085
3710.24,-6.01483
3715.12,-6.0114
3720.67,-6.01112
3726.24,-6.01074
3732.45,-6.01419
3738.57,-6.01367
3745.29,-6.00922
3752.21,-6.0108
3759.33,-6.0151
3766.99,-6.01362
3774.37,-6.01458
3781.86,-6.0105
3789.42,-6.01026
3796.61,-6.01331
3803.85,-6.01146
3810.68,-6.01807
3817.52,-6.01544
3824.81,-6.00943
3831.67,-6.01302
3838.54,-6.0145
3845.84,-6.01037
3852.7,-6.01503
3860.85,-6.01267
3869,-6.0101
3875.85,-6.01441
3883.13,-6.0092
3889.99,-6.01481
3896.83,-6.01629
3903.24,-6.01667
3910.93,-6.01539
3919.04,-6.01405
3927.14,-6.01438
3934.79,-6.06163
3941.16,-6.22315
3945.22,-6.46149
3948.32,-6.81616
3950.48,-7.21649
3951.98,-7.64795
3953.27,-8.14277
3954.35,-8.56098
3955.59,-8.92537
3957.22,-9.23075
3959.14,-9.44762
3961.37,-9.59434
3964.18,-9.70119
3967.66,-9.75951
3971.65,-9.76506
3976.4,-9.75619
3981.67,-9.76298
3987.43,-9.76531
3993.96,-9.7638
4000.91,-9.76203
